top - 23:30:41 up  7:42,  1 user,  load average: 0.40, 0.45, 0.43
Tasks: 350 total,   1 running, 348 sleeping,   0 stopped,   1 zombie
%Cpu(s):  2.5 us,  2.0 sy,  0.5 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15736.3 total,   9436.6 free,   2759.0 used,   3540.7 buff/cache
MiB Swap:   9537.0 total,   9537.0 free,      0.0 used.  11643.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  22444 hitcrt    20   0   32.4g 115644  91424 S   0.0   0.7   0:11.54 chrome
  22455 hitcrt    20   0   32.3g  53872  40568 S   0.0   0.3   0:00.45 chrome
  22548 hitcrt    20   0 1130.9g 146984 100516 S   0.0   0.9   0:04.34 chrome
  22585 hitcrt    20   0 1131.0g 129128  97008 S   0.0   0.8   0:00.30 chrome
  22604 hitcrt    20   0 1130.9g 124080  97996 S   0.0   0.8   2:42.99 chrome
  22626 hitcrt    20   0 1131.0g 151504 109144 S   0.0   0.9   0:01.18 chrome
  22638 hitcrt    20   0 1131.0g 163528 121140 S   0.0   1.0   0:01.78 chrome
  22655 hitcrt    20   0 1131.0g 136440 111168 S   0.0   0.8   0:01.55 chrome
  22686 hitcrt    20   0 1130.9g 130640  94680 S   0.0   0.8   0:04.83 chrome
  22687 hitcrt    20   0 1131.0g 149832 119672 S   0.0   0.9   0:07.21 chrome
  22889 hitcrt    20   0 1232592 134024  60512 S   0.0   0.8   0:07.99 evince
  22894 hitcrt    20   0  156064   5352   4832 S   0.0   0.0   0:00.00 evinced
  22924 hitcrt    20   0 1131.0g 157592 111912 S   0.0   1.0   0:03.80 chrome
  22937 hitcrt    20   0 1131.0g 150156 110628 S   0.0   0.9   0:01.64 chrome
  22951 hitcrt    20   0 1131.0g 148340 108588 S   0.0   0.9   0:01.03 chrome
  23001 hitcrt    20   0  670564  50604  35556 S   0.0   0.3   0:04.27 fcitx-c+
  23088 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
  23166 hitcrt    20   0 4324416 481104 268584 S   0.0   3.0   3:51.73 firefox
  23235 hitcrt    20   0  210280  46436  38452 S   0.0   0.3   0:00.03 Socket +
